City_ID,City,Max Temp,Lat,Lng,Hotel Name
556,Mersing,79.23,2.4312,103.8405,Timotel Hotel
559,Viedma,61.0,-40.8135,-62.9967,Hotel Cristal
560,Kismayo,79.9,-0.3582,42.5454,Agan-Hotel
561,Esperance,67.86,-33.8667,121.9,Hospitality Esperance
564,Lashio,58.3,22.9333,97.75,Hotel CF Lashio - Burmese Only
565,Pietersburg,64.51,-23.9045,29.4688,Bed and Breakfast @ Reggies B&B
568,San Antero,79.11,9.3741,-75.7589,Villamarina Inn chale
569,Kalmunai,78.8,7.4167,81.8167,VS Villa
571,Rudbar,56.43,30.15,62.6,
572,Aswan,74.08,24.0934,32.907,Nuba Nile
574,Bilma,72.61,18.6853,12.9164,Expeditions Ténére voyages
575,Dillon,52.05,34.4166,-79.3712,Dillon Express Inn
578,Dunedin,65.03,-45.8742,170.5036,Scenic Hotel Southern Cross
580,Iquique,66.24,-20.2208,-70.1431,Backpacker`s Hostel Iquique
581,Nsoko,66.06,-27.0333,31.95,
583,Vicuna,51.53,-30.0319,-70.7081,Los Mosaicos
586,Sokolo,78.42,14.7328,-6.1219,
587,Hurricane,66.54,37.1753,-113.2899,Super 8 by Wyndham Hurricane Zion National Park
589,Najran,57.63,17.4924,44.1277,محمد هادي ال فطيح
591,Agropoli,53.22,40.3469,14.9966,B&B Baia di Trentova
592,Broken Hill,76.91,-31.95,141.4333,Royal Exchange Hotel
593,Pedernales,78.98,18.0384,-71.744,Hotel Costa Marina
594,Sechura,68.67,-5.5569,-80.8222,Hospedaje Costa Bella
599,Jaguaruna,69.78,-28.615,-49.0256,Pousada Recanto das Flores Jaguaruna
603,Moron,64.29,-34.6534,-58.6198,Hotel Morón
604,Iacu,72.41,-12.7672,-40.2117,Pousada e Restaurante Portal da Chapada
605,San Juan,73.92,-31.5375,-68.5364,Hotel Provincial
606,Tecolutilla,75.2,18.2833,-93.3167,La Campesina
611,Ouesso,71.17,1.6136,16.0517,ABENIE Hotel
612,Omboue,76.42,-1.5746,9.2618,Hotel Olako
615,Caravelas,75.27,-17.7125,-39.2481,Pousada dos Navegantes
617,Pangai,78.94,-19.8,-174.35,Ha'apai Beach Resort
618,Aviles,52.99,43.5547,-5.9248,"Palacio de Avilés, Affiliated by Meliá"
619,Itaituba,77.45,-4.2761,-55.9836,Hotel Campos
620,San Vicente,61.11,-26.6167,-54.1333,Complejo Turístico Farelluk
621,Mae Hong Son,71.74,19.3003,97.9685,Baiyoke Chalet Hotel
622,Safford,58.12,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
625,Beruwala,76.93,6.4788,79.9828,The Palms Hotel
627,Musoma,67.41,-1.5,33.8,New Peninsula Hotel
628,Rengo,70.63,-34.4167,-70.8667,Hostal Cartagena
629,Antsohihy,74.66,-14.8796,47.9875,Hotel de Ville
630,General Roca,77.4,-39.0333,-67.5833,Hotel y Casino del Río General Roca
631,Menongue,63.36,-14.6585,17.691,Ritz Lauca
634,Buta,69.35,2.7858,24.73,HOTEL BISO NA BISO
635,Tignere,66.49,7.3667,12.65,SADECK
636,Axim,78.58,4.8699,-2.2405,Axim Beach Resort And Spa
638,Cao Bang,63.79,22.6667,106.25,khách sạn 88
640,Arlit,75.36,18.7369,7.3853,Case de Passage De la Prefecture
641,Dimbokro,74.25,6.6451,-4.7048,complexe hôtelier le jardin d'Eden
646,Itoman,68.38,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
648,Sao Filipe,75.61,14.8961,-24.4956,Hotel Xaguate
649,Cabo Rojo,73.83,18.0866,-67.1457,Hotel Perichi's
652,Kita,76.08,13.0349,-9.4895,Hôtel Chat Rouge
655,Dholka,62.98,22.7167,72.4667,jalalpur godhaneshwer
657,Luanda,77.0,-8.8368,13.2343,Hotel Fórum
658,Puga,69.87,21.5833,-104.8167,Del sol
660,Aksum,56.61,14.1245,38.7244,Remhai Hotel
662,Manaus,79.29,-3.1019,-60.025,Manaus Hotéis Millennium
664,Canon City,54.52,38.441,-105.2424,Travel Inn Motel
665,Uige,66.31,-7.6087,15.0613,Hotel Catraio
667,Soc Trang,75.16,9.6033,105.98,Phu Quy Hotel
668,Minab,71.24,27.1467,57.0801,Bam campground
671,Charlestown,67.78,-32.95,151.6667,Panorama Motor Inn Hotel
672,Kaseda,58.82,31.4167,130.3167,Sun Stay Kaseda
674,Mengcheng,52.57,33.2579,116.5655,Jinliang Hotel
675,Bengkulu,78.96,-3.8004,102.2655,Grage Hotel Bengkulu
676,Paramonga,66.38,-10.6667,-77.8333,HOSTAL MI CHALET - PARAMONGA
677,Quatre Cocos,73.51,-20.2078,57.7625,Sunrise Attitude Hotel
678,Saint-Paul,73.51,-21.0096,55.2707,Boucan Canot
679,Caborca,67.69,30.5838,-111.101,Hotel Los Lagos
680,Aguas Vermelhas,65.75,-15.7472,-41.46,
681,Obo,71.69,5.3998,26.4869,
