City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
283,Roros,NO,2021-11-28 20:08:26,62.5747,11.3842,-11.36,77,40,1.14
284,Sur,OM,2021-11-28 20:08:26,22.5667,59.5289,73.96,58,0,0.49
285,Sorland,NO,2021-11-28 20:08:27,67.667,12.6934,31.86,59,100,14.45
286,Praia,CV,2021-11-28 20:08:27,14.9215,-23.5087,75.74,69,40,24.16
287,Albanel,CA,2021-11-28 20:08:28,48.8832,-72.4487,23.76,71,96,9.84
288,Macomb,US,2021-11-28 20:08:28,40.4592,-90.6718,43.02,26,1,16.11
289,Naze,JP,2021-11-28 20:08:28,28.3667,129.4833,63.72,64,100,14.47
290,Asau,RO,2021-11-28 20:08:29,46.4333,26.4,43.72,76,100,3.87
291,Deputatskiy,RU,2021-11-28 20:08:29,69.3,139.9,-12.21,96,100,5.23
292,Cap Malheureux,MU,2021-11-28 20:08:30,-19.9842,57.6142,77.27,72,7,7.16
